date,coral,pH_treat,pHt,TAi,I.SD,TAf,F.SD,delTA,vol,time,pHw,sal,temp,DICi,DICf,HCO3i,HCO3f,CO3i,CO3f,ALKi,ALKf,pCO2i,pCO2f,aragi,aragf
7/20/14,DAXI,8.2pHc,8.2pH,2369.9,2.57811301,2278.1,5.68858506,91.8,131.099,90,8.25,35,27,1870.85116,1793.50397,1509.92054,1447.49541,355.255379,340.567943,2369.9,2278.1,210.699566,201.98854,5.69293482,5.45756999
7/21/14,DAXI,8.2pHc,8.2pH,2375.875,2.53294953,2254.575,1.89978069,121.3,145.846,100,8.22,35,27,1899.00555,1795.87327,1551.97684,1467.69119,340.778201,322.271023,2375.875,2254.575,232.057076,219.454378,5.46093936,5.16436354
9/29/14,DAXI,8.2pHc,8.2pH,2379.5,3.7103459,2258.05,2.91032644,121.45,121.493,93,8.29,35,27,1847.39456,1746.33782,1464.54931,1384.43509,377.824893,357.157002,2379.5,2258.05,186.386094,176.190339,6.05460919,5.72340814
9/30/14,DAXI,8.2pHc,8.2pH,2383.825,2.13600094,2273.575,4.64713173,110.25,135.795,95,8.27,35,27,1866.88167,1774.56279,1493.55461,1419.69707,367.965987,349.769758,2383.825,2273.575,199.035542,189.193059,5.89662114,5.60502823
1/7/14,MCAV1,7.6pH,7.6pH,2381.05,4.81559965,2257.175,7.86823784,123.875,127.888,88,7.66,35,27,2235.99548,2117.18771,2079.80369,1969.29504,125.779225,119.09605,2381.05,2257.175,1129.1024,1069.10824,2.01560053,1.90850326
1/8/14,MCAV1,7.6pH,7.6pH,2384.275,4.07216159,2269.025,5.26774778,115.25,130.391,96,7.64,35,27,2247.70105,2136.83606,2094.65204,1991.336,120.975788,115.008811,2384.275,2269.025,1190.75653,1132.02374,1.93862589,1.84300563
2/5/14,MCAV1,7.6pH,7.6pH,2294.9,1.93045763,2153.6,8.99147745,141.3,125.103,88,7.63,35,27,2165.84427,2029.72092,2020.17253,1893.20465,114.018424,106.852364,2294.9,2153.6,1175.16682,1101.30727,1.82713476,1.71229931
2/10/14,MCAV1,7.6pH,7.6pH,2309.2,1.94764815,2193.85,8.29558115,115.35,124.742,86,7.65,35,27,2171.30426,2060.50724,2021.57943,1918.42255,119.475094,113.378535,2309.2,2193.85,1123.05697,1065.74955,1.9145774,1.81688061
2/11/14,MCAV1,7.6pH,7.6pH,2297.1,5.05107249,2189.45,5.37556199,107.65,132.829,80,7.645,35,27,2161.76746,2058.28975,2013.64373,1917.25628,117.643843,112.012565,2297.1,2189.45,1131.60178,1077.43499,1.88523178,1.79499106
1/6/14,MCAV1,7.9pH,7.9pH,2405,2.42074369,2225.925,5.80768169,179.075,136.021,92,7.92,35,27,2127.49117,1963.38876,1902.79923,1756.02826,209.401379,193.249363,2405,2225.925,567.679319,523.891725,3.35563785,3.09680328
1/7/14,MCAV1,7.9pH,7.9pH,2398.125,2.9981939,2248.425,6.40123686,149.7,125.459,93,7.92,35,27,2121.191,1984.00752,1897.16443,1774.46939,208.781275,195.278794,2398.125,2248.425,565.998237,529.393446,3.34570075,3.12932473
1/9/14,MCAV1,7.9pH,7.9pH,2396.2,2.03469899,2268.875,5.39837939,127.325,130.634,95,7.915,35,27,2122.32303,2005.52433,1900.15964,1795.58736,206.717222,195.340866,2396.2,2268.875,573.456139,541.896823,3.3126245,3.13031943
1/8/14,MCAV1,8.2pH,8.2pH,2384.275,4.00281151,2279.975,8.43222984,104.3,133.654,94,8.25,35,27,1882.96299,1795.08377,1519.69571,1448.77043,357.555291,340.867931,2384.275,2279.975,212.063629,202.166461,5.72979069,5.46237728
1/9/14,MCAV1,8.2pH,8.2pH,2391.925,4.30067824,2255.73333,1.40475383,136.191667,133.447,89,8.225,35,27,1908.81011,1793.18885,1556.81337,1462.51341,345.798514,324.85266,2391.925,2255.73333,230.115637,216.176964,5.54138942,5.20573403
2/21/14,MCAV1,8.2pH,8.2pH,2310.225,3.78538858,2178.25,8.36440873,131.975,134.149,90,8.2,35,27,1858.01116,1745.14145,1530.59848,1437.61831,320.957737,301.460326,2310.225,2178.25,239.646379,225.088426,5.14331825,4.83087403
2/22/14,MCAV1,8.2pH,8.2pH,2268.525,0.75,2103.9,3.27515903,164.625,139.026,91,8.2,35,27,1822.34783,1681.55468,1501.21964,1385.23659,314.797161,290.476181,2268.525,2103.9,235.046518,216.886996,5.04459558,4.65485412
