Time,time(h),time(min),umol/L,o2sat,light
23-07-2013 14:43:57,0.691138,7.17738,166.884,83.40,d
23-07-2013 14:44:02,0.692529,7.26084,165.023,82.47,d
23-07-2013 14:44:07,0.69392,7.3443,163.697,81.81,d
23-07-2013 14:44:12,0.695312,7.42782,162.999,81.46,d
23-07-2013 14:44:17,0.696702,7.51122,162.888,81.40,d
23-07-2013 14:44:22,0.698094,7.59474,161.099,80.51,d
23-07-2013 14:44:27,0.699484,7.67814,159.063,79.49,d
23-07-2013 14:44:32,0.700876,7.76166,154.308,77.12,d
23-07-2013 14:44:37,0.702266,7.84506,150.959,75.44,d
23-07-2013 14:44:42,0.703658,7.92858,147.396,73.66,d
23-07-2013 14:44:47,0.705049,8.01204,143.797,71.86,d
23-07-2013 14:44:52,0.706441,8.09556,141.523,70.73,d
23-07-2013 14:44:57,0.707831,8.17896,137.722,68.83,d
23-07-2013 14:45:02,0.709222,8.26242,132.795,66.36,d
23-07-2013 14:45:07,0.710613,8.34588,126.95,63.44,d
23-07-2013 14:45:12,0.712005,8.4294,121.212,60.58,d
23-07-2013 14:45:17,0.713394,8.51274,115.263,57.60,d
23-07-2013 14:45:23,0.714786,8.59626,108.128,54.04,d
23-07-2013 14:45:28,0.716177,8.67972,101.064,50.51,d
23-07-2013 14:45:33,0.717568,8.76318,96.5534,48.25,d
23-07-2013 14:45:38,0.718958,8.84658,91.5185,45.74,d
23-07-2013 14:45:43,0.72035,8.9301,88.5702,44.26,d
23-07-2013 14:45:48,0.72174,9.0135,86.6306,43.29,d
23-07-2013 14:45:53,0.723132,9.09702,85.0403,42.50,d
23-07-2013 14:45:58,0.724522,9.18042,82.6485,41.30,d
23-07-2013 14:46:03,0.725914,9.26394,80.7951,40.38,d
23-07-2013 14:46:08,0.727306,9.34746,79.9076,39.93,d
23-07-2013 14:46:13,0.728696,9.43086,78.3674,39.16,d
23-07-2013 14:46:18,0.730087,9.51432,75.4109,37.69,d
23-07-2013 14:46:23,0.731479,9.59784,76.1394,38.05,d
23-07-2013 14:46:28,0.732869,9.68124,75.3996,37.68,d
23-07-2013 14:46:33,0.73426,9.7647,73.7058,36.83,d
23-07-2013 14:46:38,0.73565,9.8481,72.7462,36.35,d
23-07-2013 14:46:43,0.737042,9.93162,70.8941,35.43,d
23-07-2013 14:46:48,0.738434,10.01514,70.4288,35.20,d
23-07-2013 14:46:53,0.739824,10.09854,67.7312,33.85,d
23-07-2013 14:46:58,0.741214,10.18194,65.6284,32.80,d
23-07-2013 14:47:03,0.742605,10.2654,59.785,29.88,l
23-07-2013 14:47:08,0.743997,10.34892,44.7545,22.37,l
23-07-2013 14:47:13,0.745388,10.43238,47.6104,23.79,l
23-07-2013 14:47:18,0.746779,10.51584,57.1984,28.58,l
23-07-2013 14:47:23,0.748169,10.59924,67.4424,33.70,l
23-07-2013 14:47:28,0.749564,10.68294,76.4565,38.21,l
23-07-2013 14:47:33,0.750952,10.76622,87.6783,43.82,l
23-07-2013 14:47:38,0.752342,10.84962,99.9502,49.95,l
23-07-2013 14:47:43,0.753735,10.9332,113.765,56.85,l
23-07-2013 14:47:48,0.755125,11.0166,128.273,64.10,l
23-07-2013 14:47:53,0.756516,11.10006,143.314,71.62,l
23-07-2013 14:47:58,0.757907,11.18352,158.752,79.34,l
23-07-2013 14:48:03,0.759298,11.26698,173.963,86.94,l
23-07-2013 14:48:08,0.76069,11.3505,189.901,94.90,l
23-07-2013 14:48:13,0.76208,11.4339,207.153,103.52,l
23-07-2013 14:48:18,0.763471,11.51736,225.461,112.67,l
23-07-2013 14:48:23,0.764861,11.60076,245.475,122.68,l
23-07-2013 14:48:28,0.766253,11.68428,267.836,133.85,l
23-07-2013 14:48:33,0.767644,11.76774,291.479,145.67,l
23-07-2013 14:48:38,0.769034,11.85114,315.992,157.92,l
23-07-2013 14:48:43,0.770425,11.9346,341.419,170.62,l
23-07-2013 14:48:48,0.771819,12.01824,366.777,183.30,l
23-07-2013 14:48:53,0.773208,12.10158,391.216,195.51,l
23-07-2013 14:48:58,0.774599,12.18504,415.443,207.62,l
23-07-2013 14:49:03,0.77599,12.2685,438.707,219.24,l
23-07-2013 14:49:08,0.777382,12.35202,460.567,230.17,l
23-07-2013 14:49:13,0.778773,12.43548,480.72,240.24,l
23-07-2013 14:49:18,0.780163,12.51888,500.784,250.27,l
