Coral,species,treat,pH,Date,Set,time,timeb,water,delTA,nmol,normrate,gvc
dun,D,8.2pHc,8.2,9/29/14,I,0,0c,8.29,9.5,2379.89,100,8.59
dun,D,8.2pH,8.2,9/29/14,I,1,1c,8.2,7.8,1944.04,81.69,8.64
dun,D,8.2pH,8.2,9/30/14,I,15,15c,8.27,9.5,2363.91,99.33,8.36
dun,D,7.6pH,7.6,9/30/14,J,1,1c,7.67,6.8,1707.47,66.83,8.09
dun,D,8.2pHc,8.2,9/30/14,J,0,0c,8.27,10.2,2554.87,100,8.48
dun,D,7.6pH,7.6,10/1/14,J,15,15c,7.7,8.7,2182.52,85.43,8.06
dun,D,8.2pHc,8.2,10/1/14,K,0,0c,8.24,8.1,2028.84,100,8.39
dun,D,7.9pH,7.9,10/1/14,K,1,1c,7.96,3.7,924.38,45.56,8.39
dun,D,7.9pH,7.9,10/2/14,K,15,15c,7.98,7.9,1962.71,96.74,8.36
dun,D,7.6pH,7.6,10/2/14,L,1,1c,7.7,3.2,811.88,34.66,8.46
dun,D,8.2pHc,8.2,10/2/14,L,0,0c,8.25,9.4,2342.22,100,8.57
dun,D,7.6pH,7.6,10/3/14,L,15,15c,7.69,9.1,2277.55,97.24,8.36
