species,coral,exp,light.dark,treat,water,pH,SD
Daxi,dun,step,dark,7.9,7.9,7.07,0.256
Daxi,dun,l/d,dark,8.2,8.2,7.62,0.014
Daxi,dun,l/d,dark,8.2,8.2,7.52,0.079
Daxi,dun,l/d,dark,8.2,8.2,7.74,0.026
Daxi,dun,l/d,dark,8.2,8.2,7.39,0.063
Daxi,dun,l/d,dark,8.2,8.2,7.61,0.042
Daxi,dun,step,dark,8.2,8.2,7.56,0.122
Daxi,dun,step,dark,8.2,8.2,7.68,0.074
Daxi,dun,step,dark,8.2,8.2,7.59,0.074
Daxi,dun,l/d,light,7.6,7.6,8.29,0.015
Daxi,dun,l/d,light,7.6,7.6,8.23,0.018
Daxi,dun,l/d,light,7.6,7.6,8.04,0.104
Daxi,dun,l/d,light,7.6,7.6,7.88,0.07
Daxi,dun,step,light,7.6,7.6,8.09,0.067
Daxi,dun,step,light,7.6,7.6,8.26,0.046
Daxi,dun,step,light,7.6,7.6,8.03,0.03
Daxi,dun,l/d,light,7.9,7.9,8.43,0.039
Daxi,dun,l/d,light,7.9,7.9,8.27,0.029
Daxi,dun,l/d,light,7.9,7.9,8.37,0.044
Daxi,dun,l/d,light,7.9,7.9,8.36,0.032
Daxi,dun,l/d,light,7.9,7.9,8.36,0.032
Daxi,dun,l/d,light,7.9,7.9,8.45,0.012
Daxi,dun,step,light,7.9,7.9,8.28,0.031
Daxi,dun,step,light,7.9,7.9,8.36,0.055
Daxi,dun,step,light,7.9,7.9,8.22,0.03
Daxi,dun,l/d,light,8.2,8.2,8.51,0.013
Daxi,dun,l/d,light,8.2,8.2,8.53,0.014
Daxi,dun,l/d,light,8.2,8.2,8.49,0.011
Daxi,dun,l/d,light,8.2,8.2,8.49,0.071
Daxi,dun,l/d,light,8.2,8.2,8.48,0.045
Daxi,dun,step,light,8.2,8.2,8.39,0.033
Daxi,dun,step,light,8.2,8.2,8.42,0.013
Daxi,dun,step,light,8.2,8.2,8.32,0.029
